parsed 232 polynomials from data/liftB_b2_all.txt
ok: True | submissionId: sub_46364c94485342ab8c3b90504b8611e0 | batchId: igp24_batch_a8f22e4afd874fe4b45e19cfc488256c | status: queued | queued: 232 | rejected: 0
[     0s] batch queued verified=0 failed=0 queued=232
[    14s] batch complete verified=232 failed=0 queued=0
       idx=67 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=68 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=69 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=70 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=71 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=72 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=73 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=74 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=75 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=76 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=77 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=78 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=79 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=80 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=81 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=82 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=83 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=84 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=85 24T7818 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=86 24T12726 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=87 24T10257 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=88 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=89 24T10257 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=90 24T12726 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=91 24T14744 r=18 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=92 24T2 r=24 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=161761786626698377317203521728515625
       idx=93 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=94 24T14744 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=95 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=96 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=97 24T10257 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=98 24T3039 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=99 24T10257 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=100 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=101 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=102 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=103 24T7818 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=104 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=105 24T12726 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=106 24T2 r=0 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=304383340063522342681884765625
       idx=107 24T10257 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=108 24T10257 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=109 24T5349 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=110 24T7829 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=111 24T7829 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=112 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=113 24T12727 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=114 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=115 24T7819 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=116 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=117 24T2 r=24 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=161761786626698377317203521728515625
       idx=118 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=119 24T14744 r=10 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=120 24T12727 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=121 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=122 24T12727 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=123 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=124 24T12727 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=125 24T7829 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=126 24T14744 r=18 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=127 24T14744 r=18 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=128 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=129 24T7829 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=130 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=131 24T12727 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=132 24T7819 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=133 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=134 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=135 24T2 r=0 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=304383340063522342681884765625
       idx=136 24T7829 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=137 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=138 24T10258 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=139 24T7831 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=140 24T1555 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=141 24T2 r=24 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=161761786626698377317203521728515625
       idx=142 24T10258 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=143 24T14745 r=18 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=144 24T10258 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=145 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=146 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=147 24T14745 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=148 24T7831 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=149 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=150 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=151 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=152 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=153 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=154 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=155 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=156 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=157 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=158 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=159 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=160 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=161 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=162 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=163 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=164 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=165 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=166 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=167 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=168 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=169 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=170 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=171 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=172 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=173 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=174 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=175 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=176 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=177 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=178 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=179 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=180 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=181 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=182 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=183 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=184 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=185 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=186 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=187 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=188 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=189 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=190 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=191 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=192 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=193 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=194 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=195 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=196 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=197 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=198 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=199 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=200 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=201 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=202 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=203 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=204 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=205 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=206 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=207 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=208 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=209 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=210 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=211 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=212 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=213 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=214 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=215 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=216 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=217 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=218 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=219 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=220 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=221 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=222 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=223 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=224 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=225 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=226 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=227 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=228 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=229 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=230 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=231 24T14745 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
summary: ok=232
