parsed 176 polynomials from data/liftB_b1_all.txt
ok: True | submissionId: sub_125cbf59d5204375ad841192dc5ebb0a | batchId: igp24_batch_9800bc70721e448d851318f87c11e7a2 | status: queued | queued: 176 | rejected: 0
[     1s] batch queued verified=0 failed=0 queued=176
[    25s] batch complete verified=176 failed=0 queued=0
       idx=67 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=68 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=69 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=70 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=71 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=72 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=73 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=74 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=75 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=76 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=77 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=78 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=79 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=80 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=81 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=82 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=83 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=84 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=85 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=86 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=87 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=88 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=89 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=90 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=91 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=92 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=93 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=94 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=95 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=96 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=97 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=98 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=99 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=100 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=101 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=102 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=103 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=104 24T2 r=0 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=304383340063522342681884765625
       idx=105 24T2 r=0 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=304383340063522342681884765625
       idx=106 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=107 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=108 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=109 24T12727 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=110 24T12727 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=111 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=112 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=113 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=114 24T14744 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=115 24T7819 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=116 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=117 24T12727 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=118 24T12727 r=12 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=119 24T14744 r=18 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=120 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=121 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=122 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=123 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=124 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=125 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=126 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=127 24T10257 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=128 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=129 24T10257 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=130 24T10257 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=131 24T12727 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=132 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=133 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=134 24T14744 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=135 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=136 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=137 24T2 r=24 scoreable=False inBaseline=True src=None fieldDisc=None baselineDisc=161761786626698377317203521728515625
       idx=138 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=139 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=140 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=141 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=142 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=143 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=144 24T14744 r=6 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=145 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=146 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=147 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=148 24T14744 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=149 24T14744 r=18 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=150 24T14744 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=151 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=152 24T12727 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=153 24T14744 r=10 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=154 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=155 24T14744 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=156 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=157 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=158 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=159 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=160 24T7819 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=161 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=162 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=163 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=164 24T14744 r=16 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=165 24T12727 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=166 24T14744 r=0 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=167 24T14744 r=14 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=168 24T10257 r=4 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=169 24T12727 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=170 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=171 24T10257 r=20 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=172 24T10257 r=8 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=173 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=174 24T14744 r=24 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
       idx=175 24T14744 r=6 scoreable=False inBaseline=False src=None fieldDisc=None baselineDisc=None
summary: ok=176
