t	r	label
9350	12	24T9350
9359	12	24T9359
9362	12	24T9362
9364	12	24T9364
9364	16	24T9364
9372	12	24T9372
9372	16	24T9372
9374	12	24T9374
9386	12	24T9386
9387	4	24T9387
9389	12	24T9389
9393	12	24T9393
9393	16	24T9393
9397	12	24T9397
9397	16	24T9397
9397	24	24T9397
9399	12	24T9399
9399	16	24T9399
9399	24	24T9399
9402	4	24T9402
9405	16	24T9405
9405	24	24T9405
9408	4	24T9408
9408	8	24T9408
9408	12	24T9408
9408	16	24T9408
9408	24	24T9408
9430	16	24T9430
9431	16	24T9431
9433	8	24T9433
9433	16	24T9433
9433	24	24T9433
9443	16	24T9443
9443	24	24T9443
9444	16	24T9444
9444	24	24T9444
9445	16	24T9445
9445	24	24T9445
9448	8	24T9448
9448	16	24T9448
9448	24	24T9448
9450	8	24T9450
9450	16	24T9450
9450	24	24T9450
9451	16	24T9451
9451	24	24T9451
9452	16	24T9452
9452	24	24T9452
9453	16	24T9453
9453	24	24T9453
9466	0	24T9466
9466	8	24T9466
9466	16	24T9466
9466	24	24T9466
9470	16	24T9470
9470	24	24T9470
9471	0	24T9471
9471	16	24T9471
9471	24	24T9471
9481	16	24T9481
9481	24	24T9481
9482	0	24T9482
9482	16	24T9482
9482	24	24T9482
9483	16	24T9483
9483	24	24T9483
9486	16	24T9486
9487	24	24T9487
9488	24	24T9488
9500	0	24T9500
9500	6	24T9500
9500	8	24T9500
9500	16	24T9500
9500	24	24T9500
9506	6	24T9506
9518	16	24T9518
9518	24	24T9518
9527	8	24T9527
9527	16	24T9527
9529	16	24T9529
9535	16	24T9535
9535	24	24T9535
9537	0	24T9537
9537	8	24T9537
9537	16	24T9537
9537	24	24T9537
9540	16	24T9540
9541	16	24T9541
9559	6	24T9559
9668	16	24T9668
9770	4	24T9770
9770	8	24T9770
9770	16	24T9770
9770	20	24T9770
9770	24	24T9770
9814	16	24T9814
9823	12	24T9823
9940	16	24T9940
9940	24	24T9940
10255	0	24T10255
10255	24	24T10255
10277	8	24T10277
10338	4	24T10338
10381	4	24T10381
10381	8	24T10381
10381	12	24T10381
10381	16	24T10381
10381	20	24T10381
10381	24	24T10381
10407	24	24T10407
10412	24	24T10412
10447	0	24T10447
10447	16	24T10447
10447	20	24T10447
10447	24	24T10447
10460	0	24T10460
10460	16	24T10460
10460	20	24T10460
10460	24	24T10460
10472	0	24T10472
10472	4	24T10472
10472	20	24T10472
10472	24	24T10472
10487	12	24T10487
10487	20	24T10487
10557	20	24T10557
10560	0	24T10560
10560	12	24T10560
10560	16	24T10560
10606	8	24T10606
10606	12	24T10606
10606	16	24T10606
10606	20	24T10606
10633	16	24T10633
10633	20	24T10633
10633	24	24T10633
10634	8	24T10634
10634	16	24T10634
10634	20	24T10634
10634	24	24T10634
10641	12	24T10641
10641	16	24T10641
10641	24	24T10641
10670	8	24T10670
10670	12	24T10670
10670	16	24T10670
10670	20	24T10670
10689	16	24T10689
10689	24	24T10689
10691	24	24T10691
10694	16	24T10694
10694	24	24T10694
10697	20	24T10697
10699	12	24T10699
10699	16	24T10699
10700	4	24T10700
10700	8	24T10700
10700	12	24T10700
10700	16	24T10700
10700	20	24T10700
10747	24	24T10747
10756	16	24T10756
10756	20	24T10756
10756	24	24T10756
10764	0	24T10764
10766	0	24T10766
10766	8	24T10766
10778	16	24T10778
10778	24	24T10778
10785	4	24T10785
10785	12	24T10785
10785	16	24T10785
10785	20	24T10785
10785	24	24T10785
10859	4	24T10859
10859	8	24T10859
10859	12	24T10859
10859	16	24T10859
10859	20	24T10859
10863	0	24T10863
10863	4	24T10863
10863	8	24T10863
10863	12	24T10863
10863	16	24T10863
10863	20	24T10863
10885	16	24T10885
10901	0	24T10901
10901	12	24T10901
10901	16	24T10901
10901	20	24T10901
10901	24	24T10901
10903	0	24T10903
10903	16	24T10903
10903	20	24T10903
10903	24	24T10903
10967	0	24T10967
10991	12	24T10991
10991	16	24T10991
10991	24	24T10991
11023	12	24T11023
11032	24	24T11032
11048	16	24T11048
11048	24	24T11048
11052	12	24T11052
11052	24	24T11052
11064	0	24T11064
11064	4	24T11064
11064	24	24T11064
11086	24	24T11086
11088	16	24T11088
11088	24	24T11088
11094	24	24T11094
11099	0	24T11099
11099	12	24T11099
11099	24	24T11099
11105	4	24T11105
11105	12	24T11105
11107	4	24T11107
11107	24	24T11107
11124	0	24T11124
11137	16	24T11137
11137	24	24T11137
11253	16	24T11253
11264	16	24T11264
11291	0	24T11291
11291	16	24T11291
11291	24	24T11291
11292	16	24T11292
11292	24	24T11292
11293	0	24T11293
11293	16	24T11293
11293	24	24T11293
11296	0	24T11296
11296	16	24T11296
11296	24	24T11296
11301	0	24T11301
11301	4	24T11301
11301	8	24T11301
11301	12	24T11301
11301	16	24T11301
11302	4	24T11302
11302	16	24T11302
11303	0	24T11303
11303	16	24T11303
11303	24	24T11303
11306	0	24T11306
11306	8	24T11306
11306	12	24T11306
11306	16	24T11306
11306	24	24T11306
11309	12	24T11309
11311	12	24T11311
11313	0	24T11313
11313	4	24T11313
11313	8	24T11313
11313	12	24T11313
11313	16	24T11313
11313	24	24T11313
11316	0	24T11316
11316	12	24T11316
11319	16	24T11319
11319	24	24T11319
11321	8	24T11321
11321	16	24T11321
11321	24	24T11321
11322	8	24T11322
11322	12	24T11322
11322	16	24T11322
11322	24	24T11322
11329	8	24T11329
11329	16	24T11329
11329	24	24T11329
11331	8	24T11331
11331	16	24T11331
11331	24	24T11331
11341	8	24T11341
11341	16	24T11341
11346	8	24T11346
11346	16	24T11346
11346	24	24T11346
11347	8	24T11347
11347	16	24T11347
11347	24	24T11347
11356	4	24T11356
11356	12	24T11356
11366	24	24T11366
11368	16	24T11368
11369	8	24T11369
11369	16	24T11369
11369	24	24T11369
11370	0	24T11370
11370	8	24T11370
11370	16	24T11370
11370	24	24T11370
11378	16	24T11378
11395	8	24T11395
11395	16	24T11395
11395	24	24T11395
11399	8	24T11399
11399	16	24T11399
11399	24	24T11399
11401	16	24T11401
11402	16	24T11402
11403	8	24T11403
11404	16	24T11404
11404	24	24T11404
11411	24	24T11411
11412	12	24T11412
11412	16	24T11412
11415	24	24T11415
11418	12	24T11418
11420	12	24T11420
11421	24	24T11421
11422	12	24T11422
11424	12	24T11424
11440	12	24T11440
11465	16	24T11465
11471	8	24T11471
11471	16	24T11471
11471	24	24T11471
11473	8	24T11473
11473	16	24T11473
11473	24	24T11473
11478	8	24T11478
11478	16	24T11478
11478	24	24T11478
11480	8	24T11480
11480	16	24T11480
11480	24	24T11480
11484	8	24T11484
11484	16	24T11484
11484	24	24T11484
11485	8	24T11485
11485	16	24T11485
11485	24	24T11485
11486	8	24T11486
11486	16	24T11486
11486	24	24T11486
11487	8	24T11487
11487	16	24T11487
11487	24	24T11487
11489	8	24T11489
11489	16	24T11489
11489	24	24T11489
11490	16	24T11490
11490	24	24T11490
11491	8	24T11491
11491	16	24T11491
11491	24	24T11491
11492	8	24T11492
11492	16	24T11492
11492	24	24T11492
11493	0	24T11493
11493	8	24T11493
11493	16	24T11493
11493	24	24T11493
11494	8	24T11494
11494	16	24T11494
11494	24	24T11494
11496	8	24T11496
11496	16	24T11496
11496	24	24T11496
11497	8	24T11497
11497	16	24T11497
11497	24	24T11497
11500	8	24T11500
11500	16	24T11500
11500	24	24T11500
11502	8	24T11502
11502	16	24T11502
11502	24	24T11502
11550	24	24T11550
11552	24	24T11552
11554	24	24T11554
11555	16	24T11555
11557	16	24T11557
11558	16	24T11558
11558	24	24T11558
11562	16	24T11562
11562	24	24T11562
11565	16	24T11565
11565	24	24T11565
11567	16	24T11567
11567	24	24T11567
11575	24	24T11575
11595	24	24T11595
11600	24	24T11600
11601	0	24T11601
11601	8	24T11601
11601	16	24T11601
11601	24	24T11601
11602	0	24T11602
11602	8	24T11602
11602	16	24T11602
11602	24	24T11602
11603	6	24T11603
11603	8	24T11603
11603	16	24T11603
11603	24	24T11603
11604	0	24T11604
11604	6	24T11604
11604	8	24T11604
11604	16	24T11604
11604	24	24T11604
11605	0	24T11605
11605	24	24T11605
11608	24	24T11608
11610	24	24T11610
11611	16	24T11611
11611	24	24T11611
11612	16	24T11612
11612	24	24T11612
11613	16	24T11613
11613	24	24T11613
11614	16	24T11614
11614	24	24T11614
11619	16	24T11619
11620	0	24T11620
11620	8	24T11620
11620	16	24T11620
11625	0	24T11625
11625	16	24T11625
11626	0	24T11626
11626	16	24T11626
11626	24	24T11626
11628	4	24T11628
11628	12	24T11628
11628	24	24T11628
11634	16	24T11634
11634	24	24T11634
11638	8	24T11638
11638	16	24T11638
11638	24	24T11638
11639	16	24T11639
11639	24	24T11639
11641	12	24T11641
11641	24	24T11641
11646	4	24T11646
11646	8	24T11646
11646	16	24T11646
11646	24	24T11646
11647	4	24T11647
11650	0	24T11650
11650	8	24T11650
11650	16	24T11650
11650	24	24T11650
11651	0	24T11651
11651	8	24T11651
11651	16	24T11651
11651	24	24T11651
11654	12	24T11654
11654	24	24T11654
11658	16	24T11658
11658	24	24T11658
11659	16	24T11659
11659	24	24T11659
11666	8	24T11666
11666	16	24T11666
11666	24	24T11666
11667	8	24T11667
11667	16	24T11667
11667	24	24T11667
11669	24	24T11669
11678	8	24T11678
11678	16	24T11678
11678	24	24T11678
11679	0	24T11679
11679	8	24T11679
11679	16	24T11679
11679	24	24T11679
11682	12	24T11682
11685	4	24T11685
11686	8	24T11686
11686	16	24T11686
11686	24	24T11686
11687	4	24T11687
11692	4	24T11692
11696	8	24T11696
11696	16	24T11696
11696	24	24T11696
11697	0	24T11697
11697	8	24T11697
11697	16	24T11697
11697	24	24T11697
11702	16	24T11702
11703	8	24T11703
11703	12	24T11703
11703	16	24T11703
11704	12	24T11704
11705	12	24T11705
11705	16	24T11705
11705	24	24T11705
11707	16	24T11707
11707	24	24T11707
11709	12	24T11709
11709	24	24T11709
11716	8	24T11716
11716	12	24T11716
11716	16	24T11716
11716	24	24T11716
11745	24	24T11745
11751	16	24T11751
11759	24	24T11759
11763	16	24T11763
11777	16	24T11777
11779	16	24T11779
11784	16	24T11784
11784	24	24T11784
11786	12	24T11786
11786	16	24T11786
11786	24	24T11786
11787	24	24T11787
11789	16	24T11789
11789	24	24T11789
11793	12	24T11793
11793	16	24T11793
11793	24	24T11793
11798	24	24T11798
11799	16	24T11799
11802	0	24T11802
11802	8	24T11802
11802	16	24T11802
11802	24	24T11802
11805	16	24T11805
11808	16	24T11808
11810	16	24T11810
11811	16	24T11811
11813	12	24T11813
11813	16	24T11813
11813	24	24T11813
11816	16	24T11816
11819	16	24T11819
11819	24	24T11819
11825	12	24T11825
11825	16	24T11825
11825	24	24T11825
11826	0	24T11826
11826	4	24T11826
11826	12	24T11826
11826	16	24T11826
11826	24	24T11826
11828	16	24T11828
11830	4	24T11830
11830	12	24T11830
11830	16	24T11830
11830	24	24T11830
11833	4	24T11833
11833	8	24T11833
11833	12	24T11833
11833	16	24T11833
11834	16	24T11834
11834	24	24T11834
11838	16	24T11838
11846	4	24T11846
11846	8	24T11846
11846	12	24T11846
11846	16	24T11846
11847	8	24T11847
11847	16	24T11847
11856	0	24T11856
11856	16	24T11856
11856	24	24T11856
11857	16	24T11857
11859	8	24T11859
11859	12	24T11859
11859	16	24T11859
11859	24	24T11859
11866	16	24T11866
11866	24	24T11866
11868	16	24T11868
11868	24	24T11868
11879	6	24T11879
11880	0	24T11880
11880	6	24T11880
11880	12	24T11880
11880	16	24T11880
11880	24	24T11880
11881	0	24T11881
11881	16	24T11881
11884	12	24T11884
11889	16	24T11889
11892	0	24T11892
11892	16	24T11892
11892	24	24T11892
11893	16	24T11893
11893	24	24T11893
11894	16	24T11894
11894	24	24T11894
11901	0	24T11901
11901	8	24T11901
11901	16	24T11901
11901	24	24T11901
11902	16	24T11902
11904	16	24T11904
11904	24	24T11904
11905	16	24T11905
11907	0	24T11907
11907	16	24T11907
11907	24	24T11907
11908	16	24T11908
11908	24	24T11908
11910	8	24T11910
11910	12	24T11910
11910	16	24T11910
11910	24	24T11910
11911	8	24T11911
11911	12	24T11911
11911	16	24T11911
11911	24	24T11911
11912	8	24T11912
11912	12	24T11912
11912	16	24T11912
11912	24	24T11912
11913	8	24T11913
11913	12	24T11913
11913	16	24T11913
11913	24	24T11913
11914	6	24T11914
11914	12	24T11914
11914	16	24T11914
11914	24	24T11914
11915	0	24T11915
11915	8	24T11915
11915	16	24T11915
11915	24	24T11915
11919	0	24T11919
11919	16	24T11919
11919	24	24T11919
11923	6	24T11923
11923	12	24T11923
11927	12	24T11927
11927	24	24T11927
11928	0	24T11928
11928	16	24T11928
11928	24	24T11928
11929	0	24T11929
11929	16	24T11929
11929	24	24T11929
11930	16	24T11930
11931	12	24T11931
11931	16	24T11931
11932	0	24T11932
11932	16	24T11932
11932	24	24T11932
11934	16	24T11934
11934	24	24T11934
11940	0	24T11940
11940	16	24T11940
11940	24	24T11940
11941	12	24T11941
11943	16	24T11943
11946	16	24T11946
11949	0	24T11949
11949	8	24T11949
11949	16	24T11949
11949	24	24T11949
11953	12	24T11953
11954	16	24T11954
11955	16	24T11955
11956	0	24T11956
11956	8	24T11956
11956	16	24T11956
11956	24	24T11956
11957	16	24T11957
11957	24	24T11957
11964	0	24T11964
11964	6	24T11964
11964	8	24T11964
11964	16	24T11964
11964	24	24T11964
11965	8	24T11965
11965	16	24T11965
11966	16	24T11966
11967	0	24T11967
11967	16	24T11967
11967	24	24T11967
11976	0	24T11976
11976	16	24T11976
11976	24	24T11976
11977	0	24T11977
11977	16	24T11977
11977	24	24T11977
11978	0	24T11978
11978	16	24T11978
11978	24	24T11978
11979	0	24T11979
11979	8	24T11979
11979	16	24T11979
11979	24	24T11979
11980	16	24T11980
11980	24	24T11980
11981	0	24T11981
11981	16	24T11981
11981	24	24T11981
11988	0	24T11988
11988	4	24T11988
11988	8	24T11988
11988	12	24T11988
11988	16	24T11988
11988	24	24T11988
11990	0	24T11990
11990	8	24T11990
11990	16	24T11990
11990	24	24T11990
11991	0	24T11991
11991	6	24T11991
11991	8	24T11991
11991	16	24T11991
11991	24	24T11991
11992	6	24T11992
11992	16	24T11992
11992	24	24T11992
11993	0	24T11993
11993	6	24T11993
11993	16	24T11993
11993	24	24T11993
12000	0	24T12000
12000	8	24T12000
12000	16	24T12000
12000	24	24T12000
12002	16	24T12002
