1,-3,0,1 # A3 x^3-3x+1 r=3
-1,3,0,1 # A3 -x^3+3x+1 r=1
-1,-3,0,1 # S3 x^3-3x-1 r=3
-1,-4,0,1 # S3 x^3-4x-1 r=3
-2,-4,0,1 # S3 x^3-4x-2 r=3
-1,-5,0,1 # S3 x^3-5x-1 r=3
-3,-5,0,1 # S3 x^3-5x-3 r=3
-1,-6,0,1 # S3 x^3-6x-1 r=3
-2,-6,0,1 # S3 x^3-6x-2 r=3
-3,-6,0,1 # S3 x^3-6x-3 r=3
-1,-7,0,1 # S3 x^3-7x-1 r=3
-2,-7,0,1 # S3 x^3-7x-2 r=3
-3,-7,0,1 # S3 x^3-7x-3 r=3
-4,-7,0,1 # S3 x^3-7x-4 r=3
-5,-7,0,1 # S3 x^3-7x-5 r=3
-7,-7,0,1 # S3 x^3-7x-7 r=3
-1,-8,0,1 # S3 x^3-8x-1 r=3
-2,-8,0,1 # S3 x^3-8x-2 r=3
-4,-8,0,1 # S3 x^3-8x-4 r=3
-5,-8,0,1 # S3 x^3-8x-5 r=3
-6,-8,0,1 # S3 x^3-8x-6 r=3
443483171695205,427754973449646,-3576870929859008,-2940359014879348,5823071734372691,2131699622001404,-3115586782121804,-597304237417918,696149777076326,93305546143098,-74122030855376,-8695447574872,4001282734767,432349539184,-120707976412,-11784732874,2175518850,182572762,-24112472,-1602624,162215,7412,-612,-14,1 # comp 2x12 (2*12) r=24
170116072960377224871168,-292435333300907963655216,213303802863148949571900,-83283021364650189740316,16887780419477852120765,-653909143770470848724,-527147759989214191342,126782143807703030664,-7947111498552324689,-1531738636429771828,340452446923125280,-16804831061502156,-2467586217724779,405383644128936,-12891488565658,-1969151379852,218553792529,-4218401268,-664727512,51446016,-832017,-70404,4498,-108,1 # comp 4x6 (4*6) r=24
3168739121,96807270124,-1072055323122,994823587708,7865624570113,-6321512049856,-8824289593424,10074361600336,126096920914,-3389707808516,1002381198338,243368888904,-137866505258,-950172228,7785721502,-555116816,-224866911,26599200,3313256,-561464,-18250,5808,-80,-24,1 # comp 12x2 (12*2) r=24
-769194422017594243,271367638715630336,2419016428731039280,224947529109352192,-1337154848642487172,104619471844181888,286112737887568176,-77017705520915456,-11663288348382725,6200304855528960,-77997171096864,-217300293174272,16209360100376,4132362896640,-475056771104,-45589113856,7031537407,290839296,-60431696,-994048,305692,1408,-848,0,1 # comp 3x8 (3*8) r=24
1286027218826956800,-28248244833811522560,-10808745606880149504,27652783476924573184,14345916644407639296,-5236505564989896192,-4074930815084045568,-97551395598486528,335419150576773888,47438350003093440,-10011246403279552,-2447727851773536,72804955801232,53049743988768,1927322205616,-542539142240,-43520015376,2193534568,336626928,2163632,-1068044,-37568,872,68,1 # comp 6x4 (6*4) r=24
55537246597439682752,-22589135369064730624,-85271934527049831872,19319921190480877840,30939787135148671040,-3138102618843221168,-4800328606307128316,72859969405790092,378249662979233872,18063362598298943,-15690829258694057,-1550914854006069,320510858459567,50075420497887,-2273082582869,-738407418893,-15980479677,4667545237,294573301,-8528903,-1301027,-23907,1573,77,1 # comp 8x3 (8*3) r=24
21956090309913050905,28951857922124616000,-37379746897689413584,-20737883989667402280,12833136921935048116,7132702532766545922,-1109867193488289290,-1095440550487966334,-87381864155357818,61619524573839442,14868487264494295,-140054900303584,-482556875344303,-64512535248008,165678980165,835813317446,76383212947,-124987748,-474070185,-31441154,-194023,76592,4399,106,1 # comp 12x2 (12*2) r=24
4375159345199544,10167639750337080,-24461983854060216,6211763469406388,12367760258546304,-8268996906032772,-15392654000550,1399602688729482,-309095059177836,-76903259908915,34604231911686,104760689004,-1641629481158,147962709897,38940131385,-6388102522,-415773318,126916443,-125024,-1335153,45276,7119,-381,-15,1 # comp 8x3 (8*3) r=24
-102422266350791875,3109583150917465200,-1724745707367800700,-3329009697049808600,2156539882502906495,777718975394171500,-752336911588319590,31542087807353628,88234428621730610,-20442233702916056,-2313426133305536,1510871369870912,-164237743597001,-21509557150572,7474327163998,-714698940604,-2807609162,6836881032,-626761008,16446880,1272307,-135204,5586,-116,1 # comp 3x8 (3*8) r=24
1312068069808702376,2198043556580565128,545665091969520712,-971548896868861132,-697683748306438916,-50960262433407636,100993302345810434,35361357157965938,-443032708550294,-2474862746527701,-404932552654307,42558914837301,19050368146055,1025271930215,-315593391209,-46978852355,805659457,619785081,33776195,-2707321,-357695,-6023,943,57,1 # comp 3x8 (3*8) r=24
3331579,62508272,176939248,-1157944960,-308383183,4808942752,-2325209184,-6151238784,5188501708,2107841840,-2743464496,-254295680,675423857,3066976,-92866432,1605120,7583428,-120912,-370544,3328,10537,-32,-160,0,1 # comp 8x3 (8*3) r=24
-343940268796,143054210816,17549843723456,-24649496263744,-22247781180848,26256038956128,14784628620208,-10097857411808,-5462530515868,1637584130464,1054435044608,-93100968272,-103561759404,-1233885584,5590628696,381706256,-171182319,-18700320,2836840,436664,-19562,-5104,-48,24,1 # comp 2x12 (2*12) r=24
3881632624942671,-49073800517045838,254020598790354963,-727376777976256488,1323477610776700764,-1659606350531992566,1512245095460861416,-1038837645598821296,552511418316211160,-232038844831320112,78088071215433072,-21286675119444436,4736317231444189,-864339252518886,129661183321436,-15983113783348,1613870876562,-132634492872,8779896029,-460734540,18711907,-566736,12041,-160,1 # comp 3x8 (3*8) r=24
-472586616348992,-502527407375616,3028271417336960,2145941829118464,-5364066223483520,-784149938109696,2852904206247232,-153142988951616,-574948351007648,65821616534880,55375458055376,-6839646634560,-2986494052952,306222320064,101223340528,-6500313288,-2209876871,47927640,29492108,483432,-208430,-10344,484,48,1 # comp 4x6 (4*6) r=24
70528371505102864864,166238677129271228160,140127896231854070804,39661348626184359252,-9032912857641262987,-6761838538398105180,-163518226112447546,461171868299366472,34477492973243325,-19584212367833232,-1447810351481392,581051548195416,27605316581042,-12119220355512,-150219938932,169320693024,-3744878478,-1436545584,80353468,5738868,-612903,2772,1614,-72,1 # comp 12x2 (12*2) r=24
1009865755273659530880,2986361586620768501760,1891972327977927487552,-51833365410554365696,-277112599363776503600,-18165010882035382144,18445607966236636416,1305805743703020064,-742686013923819536,-39246077035984064,19755466636121272,555577462335968,-355700808791312,-1251066920984,4300572579120,-79954275232,-33685108019,1297923972,157460328,-9348456,-350866,33436,-4,-48,1 # comp 4x6 (4*6) r=24
321045425278259280777,1605804892160812560000,2741598634666914107712,2096328224921943422592,483856484412691446720,-439722747741365931936,-463887576565769598810,-216881320607207426664,-60637717081428902502,-9560104282649457808,-131312752498162234,372460676679240136,115455174282593239,21303338813004552,2833853696178534,287997188037032,22878094552367,1431411704944,70393418992,2692593120,78502335,1685480,25118,232,1 # comp 12x2 (12*2) r=24
-6251232293606072688,-2384735240138675552,19484809957840480240,7544735903412310544,-11819031828356406192,-1227887194921264856,2537331885962439736,-154602089852364976,-222853048962669972,37365484283863084,7416577447619952,-2319271005745646,16285104789177,53991236721792,-5476832987910,-287038239278,85847207507,-4378740268,-224822748,34233422,-1108601,-32504,3450,-98,1 # comp 6x4 (6*4) r=24
13446382943458708,-13628646732172512,-36072810524200984,12978881166700344,38045081194023005,4147293011849064,-15784124074721110,-6539959606853904,1836278164066213,1835898197519616,294847010052640,-127199929110768,-66126775398606,-10037311578192,1079265759932,804041438784,186459882022,26826623712,2691041656,194865144,10212641,379368,9498,144,1 # comp 2x12 (2*12) r=24
209888375373438361601,-144990624436112016640,-152792787670396191360,52609785663150385808,31639235791985165896,-8180267599116601308,-2936482705922028738,709997829152969506,141692845572538974,-37071685990477232,-3573641593719574,1194994683579490,35197259138206,-23778920379902,386433507207,282335403618,-14651521203,-1787346076,163337126,3572668,-804474,16698,1299,-70,1 # comp 12x2 (12*2) r=24
-3704378490672966812124,19049349720813297510240,46917931288816231472592,25392603849018107859360,485941962898650136368,-3695160934375660312920,-1160495167245029805564,-19339885028906761680,63840436743071565424,14892980535846766560,723903318370744828,-294012078416381100,-70289355915489323,-6523983920771460,9559811980690,81865640319960,11942871054235,1019479543440,60236036380,2574575460,79970095,1767900,26434,240,1 # comp 12x2 (12*2) r=24
711969495866872308,952554799758827772,-823204961104633692,-651546769180320702,527021062770765325,114948381195100648,-167878700151250761,19220993199185180,22300340582694489,-8506437949423648,-77456204471629,771218195197112,-207343419793362,10791865961162,7461914415580,-2543805755972,454706628956,-54911341212,4790040740,-307766056,14503355,-489060,11194,-156,1 # comp 2x12 (2*12) r=24
-137341115822434455,-226831149889378140,1261071591947537580,-1496212533358863824,602329057055254650,171094244125081296,-278462833523147750,118831966050541116,-18769804326527455,-3205526628062136,2149553990235940,-422646893843800,23605527300371,5693041945656,-1259613547410,73244546792,6983722392,-1338806052,54446462,4280412,-518903,12084,830,-56,1 # comp 6x4 (6*4) r=24
191674916293598120615021,-364523804868403104312898,295780427056905448248734,-131232563239162892513858,32702820076196124143227,-3443204291819561203648,-427893166289855464639,194200842801059341644,-22902897203574378194,-552911653538847314,456727040594081213,-44449782587974896,-804930083087546,505527386074502,-34728290211777,-874815709982,255209461702,-11433396954,-349480151,53651116,-1629847,-34816,3771,-102,1 # comp 6x4 (6*4) r=24
103074504854445216,252328571271516480,173389364710319248,-44282083649866480,-101358154265788324,-26539792898463000,15688022173933300,9345139062153320,75323304352833,-1049209180513400,-227480534648268,32341535102000,19800221713100,2038504700680,-434760828276,-143509644960,-12859357562,1005725400,400852060,52169600,4032896,201520,6432,120,1 # comp 2x12 (2*12) r=24
-283988965916540,1257999636464480,138536360866282704,810307478019397344,2051328983906016880,3040505991771630760,3007537669861640676,2135102248000480864,1138709164411960484,470476003546917368,153847177431454192,40420998806168820,8621728932718653,1502933585381620,214853984057418,25200499037840,2418903551559,188875651104,11876270540,591995348,22843011,657580,13286,168,1 # comp 2x12 (2*12) r=24
-45609399791118734000,-118116755168539292400,-84032541655069647000,14417513851090583392,36119998930683154408,8164405983541195880,-3407401326943952876,-1404755280826836664,68597614825024800,84732372755861924,4554273633870098,-2365003155361272,-264477798024766,30345500273282,5495684510513,-108044447254,-55176371585,-1263921048,268345278,13697524,-503842,-46022,-165,50,1 # comp 4x6 (4*6) r=24
-281318094131893902,4313292777569945016,4184941394694202668,-4068611066970486828,-4093943904232593003,-110367928311206184,727747164748963554,166815549477370524,-36768861383623995,-17403360424409868,-565628006305136,637206924515060,93531767533117,-5857430005908,-2417396108478,-126201829560,18831036391,2528561564,24118852,-13050552,-795465,4584,2110,80,1 # comp 3x8 (3*8) r=24
3465754612669687025664,3505881117844329431040,675519430318887598080,-379593851836391586816,-135402393153273300352,16589205651587963904,9735818949025677472,-369626383693907984,-403339648564236735,5187948434496992,10949043929296264,-108725795698128,-203424086596066,3490921733616,2593869973788,-75333327840,-22056071489,955119024,116167124,-7055728,-310986,28336,92,-48,1 # comp 2x12 (2*12) r=24
-1618194396175548416,2031991881593864192,2752436670931143680,-1225154923398232064,-1356677870914695744,140150319491249920,248136894492194288,3321086071708128,-22364384719352028,-1542887959243328,1116986216562105,114386395210558,-32217245896937,-4123936104704,532542818517,82993742598,-4695514313,-963277100,15914567,6336142,48385,-21732,-501,30,1 # comp 12x2 (12*2) r=24
-5966618659576461,-60912857821209752,-51216200889297950,205133849874258372,254235781475678911,-23238339560882008,-87815460661598742,-11519578343783688,10478169393180373,2581202734199520,-439066801317502,-188193341681376,-1798436602648,5490029817196,486242716004,-61804946588,-10518893312,69699668,90029436,3483804,-302943,-23184,82,44,1 # comp 4x6 (4*6) r=24
-218769492584484427,1042989643565387636,-740280439165483130,-654729268123044044,294508302381225565,140991182904998828,-47119412663667222,-15290500070333936,4123561466812694,966480569607716,-220976733051170,-38292441170724,7669189700789,986260435044,-177050021258,-16702648160,2733257710,183776876,-27765166,-1258748,177301,4852,-642,-8,1 # comp 4x6 (4*6) r=24
-8062491931359953580,3067479256710910032,49871578117478626092,13009146091571000064,-69361706704948817940,-69495521191183603824,-24555917948226573636,-1311800406269053368,1500268888297476472,410737011376601492,17451960070557960,-9394716057859540,-1651347634131704,-25471937110524,20743766041432,2249024320112,7140355569,-15644941720,-1204151804,-13347360,3346054,245360,8172,140,1 # comp 2x12 (2*12) r=24
16451496750455584,2255697357548032,-1000928714222124448,-151616019601451520,405478744492888528,58092386518526016,-64948918757674304,-8575726130015424,5531988401912144,655328643187168,-284091548388928,-29411493749920,9391894076296,824951141488,-206531711240,-14834788592,3048534708,170435672,-29789752,-1205240,184344,4760,-652,-8,1 # comp 6x4 (6*4) r=24
18318969,109661652,-167865000,-954757608,1127956756,2325083112,-2911274414,-2126313588,3137889679,724863204,-1539868890,-87574500,397527937,-777900,-58997078,964056,5243500,-74808,-280404,2256,8755,-24,-146,0,1 # comp 8x3 (8*3) r=24
17825236644643749,13291712077414572,-11960117815292436,-13402547918715492,736942251707680,4866542461141200,1313983305005994,-658368174694356,-421148129475043,-22919210667864,44536280881900,14354950826880,43572187303,-1012029208380,-265177213030,-17252592228,6720056062,2288622924,378936274,40788108,3031577,155628,5298,108,1 # comp 12x2 (12*2) r=24
3488649140895125,-11518355347826200,-1695846973469470,19219765884359960,6843083985744329,-10265847929237336,-7457175562838222,157537237146912,1850166430538158,759828186592040,87334435456402,-24435631845304,-9446535749911,-846622841608,144186858286,41404286464,2621665238,-339945544,-70814018,-3790088,203697,41656,2622,80,1 # comp 8x3 (8*3) r=24
42983237158500447607056,-145812035858561702581536,194030426380013048478960,-124446671422107454069616,30120466558636046776176,11985777202305416508360,-13417215709922397670152,5940217404528907490304,-1667401155491179816020,325036537885443185916,-44203747570276738680,3792348872957375514,-82569124081858711,-32391955109742024,6179757670133874,-665685384355870,51159281232771,-2977645019484,133607888060,-4616320410,120958983,-2329136,31122,-258,1 # comp 6x4 (6*4) r=24
24480394854400,-314551645388800,-1007980319191040,1233661329090560,1333207399513856,-1077844246667776,-533805990386240,392942511230784,77448823785632,-67520665289152,-2778031702596,5900006893724,-282819506127,-271062690844,29896487470,6227745136,-1103572785,-50849176,18962288,-421924,-143041,9332,262,-40,1 # comp 4x6 (4*6) r=24
-1079795241308742768,3853775572802952192,-288483175764292272,-2855309001319732608,1045523735032439008,387526802794830280,-208512119730446936,-16913021109325464,17366313057293740,-105023870999536,-793641041694804,33951235864534,22330899592661,-1309817108690,-410613383752,25758448224,5071201927,-296985276,-42045796,2026750,225823,-7586,-712,12,1 # comp 8x3 (8*3) r=24
219657945882341928,5816258113681186800,845788997523038304,-10074670231942525188,-323712380822676428,4882874280772181168,-762393414839081296,-572927348422196780,116422407511879432,28373103235132056,-6614881853282094,-717304135361448,191619414331726,9960344801795,-3173511354211,-76830463487,31549490371,310448382,-190155690,-509346,674914,-193,-1285,1,1 # comp 8x3 (8*3) r=24
29557341199103518369800,-62589084698159618622300,44052648931934841570660,-10906269619673117075215,-1444396519705582377574,1333037400982413330731,-203192574176300137670,-27651431812544420776,12333517235672693233,-903386110392194388,-194437579094041834,41454704454929350,-1193641224879711,-461097100750712,57637352445727,-740505000584,-394307662415,37025148879,-808199057,-97288713,9842341,-442860,11374,-162,1 # comp 3x8 (3*8) r=24
21322363362498923957705,26023745346152874998400,10442207902483508488728,341629200489304910568,-917819092288941372962,-229959840949116539864,7224386613419719864,10742226479983009524,1154418140623440691,-163274760378616368,-42197960496276170,-680260567311504,603021774710432,51991658849804,-3198529453822,-664069749560,-11767594768,3602968464,227485406,-5477688,-983541,-21876,1182,68,1 # comp 6x4 (6*4) r=24
-60320125036406975,-337728319298149700,119301087922259380,734174482644688700,411892076798764849,-152381759841278608,-240936798232743062,-92779041101237004,-6974672955937605,5793346808945832,2029127057619608,204770988451776,-28941180396970,-9984595774128,-800062151052,64885184736,17281181435,958972092,-61978172,-10942684,-430735,15712,2098,76,1 # comp 6x4 (6*4) r=24
-18935118821933936,17261663529829088,59283208087929136,-59621433937170976,-31350724579383416,47220388755698208,-5821728476150320,-7961687562275280,2138138259419848,500538935540752,-197880993497882,-13590160390088,8885444657219,117533139728,-229824796454,1921914740,3658361539,-55843056,-36333646,540384,218377,-2384,-722,4,1 # comp 6x4 (6*4) r=24
-76774326813916112844,-585139607835827324940,-228489441284849370078,627246343560634006050,317861874131619681331,-149927947961307789200,-82723977104822675195,10460523086097976292,6387966128522099009,-363906593236851232,-217069085132646685,7381719660607988,3819102884044634,-86253873550318,-38176979100772,588011614388,227778058586,-2383106944,-823554898,5674316,1763897,-7348,-2054,4,1 # comp 12x2 (12*2) r=24
5619605892766599456,-4780577688649342848,-5564874991375258416,1995690089911139280,1472490060827610780,-357386463437618808,-182093440703463712,34804240846873140,12812070024243477,-2041300500928314,-563922965136120,76217287118274,16331966753235,-1863616551246,-319122138348,30064005488,4230643728,-315605034,-37492660,2064414,212523,-7606,-696,12,1 # comp 4x6 (4*6) r=24
-22281940435194871,-80911304300348160,-37794106088096064,97514569051434592,38357841184722312,-42974624446838208,-9143411907058170,9032483367529200,671162483686758,-990623814376832,18233967327594,58099405948848,-4762259266221,-1768763569296,237536510682,25113799120,-5289519345,-81951360,57652980,-1674048,-282777,17392,330,-48,1 # comp 2x12 (2*12) r=24
85264394845750208,-3164497212468865152,-55203464046944192,4192180527448024512,1799703676015677776,-1260759267480890800,-1258239184539731360,-363285483348021688,-1613828619342839,23730333986461496,5248115885686200,64486064595448,-147176417704308,-22375750043960,-27927007016,335659330168,34559232190,-17090520,-259950904,-19433112,-160340,55752,3592,96,1 # comp 6x4 (6*4) r=24
-2115988976908644,43951302977074896,-133137345565141650,89805964448246910,27169217589444901,-42896983114688450,6581099891504229,5035222639251788,-1548521026254809,-211131972639794,120934864466767,-175854093828,-4807886003870,314282870188,107347691368,-11853161448,-1326999914,215163834,7391962,-2141936,9097,11196,-302,-24,1 # comp 4x6 (4*6) r=24
-9701723467661282636,-7227422388801527328,19878870537754131672,-1446684502192464456,-8906212338169918116,3257729185507478928,874283224800762840,-697834979877131340,74216611360941925,39237718614688188,-12560765280022716,543947565554748,364956706986716,-76185124407756,3602757801948,802222554756,-151546833718,9523032444,204550948,-82378044,6931272,-323196,9068,-144,1 # comp 12x2 (12*2) r=24
12628943073492418711,-38554200658895458088,36967792156467160838,-5960974746590948400,-13012535867393738077,9793662084243936208,-2271123819430269768,-478053345636654708,430789811573036739,-101692729825464240,1132727239055458,5329643213504636,-1456484450159705,168212957410484,3141478524362,-4597429285628,884870442531,-102799105836,8350860456,-493313028,21247875,-652848,13590,-172,1 # comp 3x8 (3*8) r=24
-56325856424309975,55032357979152000,476399347031478600,-478052906410042120,-934248123465436580,1022493391918579760,-18754937204738150,-218282749889681994,44369624355870014,12253114874955732,-4143477560378662,-112060493012602,143969398412412,-8238512111346,-2191201595689,258488158130,11163148185,-2981837084,65205274,13884972,-899032,-7162,2427,-86,1 # comp 12x2 (12*2) r=24
2520540311589,-1956293072292,-11757456415252,10170991883160,18307710285921,-18441288303984,-10507409635228,14494644314580,468820269619,-4747506483024,1231344231798,448889455152,-251467327959,12851173056,15036235012,-3460605600,-39615407,120053232,-17143126,70716,251581,-33744,2164,-72,1 # comp 3x8 (3*8) r=24
-361620662197824,-27218882836224,3459053515689600,233892333868032,-8525101059497984,-414977780492928,4394037678776128,617947870204992,-777127667580800,-123994486757472,68422809458160,9987173180160,-3567863268824,-393868261680,119173827808,7607308104,-2548602623,-47182728,32792100,-638664,-219110,11400,460,-48,1 # comp 6x4 (6*4) r=24
-2726038086976,-28287398272832,-88579827019968,-90591987051512,61150793653201,224316757144856,205331488958050,72712757516176,-7840335179687,-14268590875184,-3168223419292,599415493824,347486570872,20021141640,-13678476850,-2379075392,167975430,74145984,3145904,-891392,-105568,528,748,48,1 # comp 12x2 (12*2) r=24
15148365069390876293184,6286401066063730044672,-1987375899450332911104,-1031530252387279449216,111209353816256768288,76247651133220709184,-3521652864789080128,-3348031249400143904,74239152820908292,96865908759401536,-1310323027602528,-1934527473426336,24029975920800,27149897275688,-412939648844,-267258844160,5324402448,1806213864,-45941248,-7977444,248137,20724,-758,-24,1 # comp 2x12 (2*12) r=24
-18111341663576,56108315469472,444069434712153,-1665585199618372,1796361353268445,-73836274842080,-1306627938960165,1056155265526320,-252058526378487,-111157927811806,99971345289301,-30145213464998,2418292693038,1250547564646,-500201131654,83894176372,-4837301275,-919554930,265326182,-34257110,2782995,-149982,5240,-108,1 # comp 4x6 (4*6) r=24
107265702114608181,65847325520243715,-207829775020734282,-94419015870556188,120387438227625788,46383805916523686,-23818336541023603,-8530952801874424,2283648828060433,764923036709436,-127194895737059,-38680733856943,4545973397352,1189650688257,-109711685983,-23028162944,1813412608,281128383,-20157154,-2092013,142843,8623,-577,-15,1 # comp 3x8 (3*8) r=24
128273971131992968137,-1567442517763728503232,115917411942975841200,1135103237963580028704,316864261376215687452,-176607375987891099828,-109929938797990138686,-12106228180100209608,6312457715796944078,2514467792682672908,314499599259430794,-23333283174612932,-14205798444427541,-2244011615660796,-150922464720334,6157176144392,2566493738967,307125506728,22864663624,1184146524,43703075,1134644,19770,208,1 # comp 12x2 (12*2) r=24
-324520256521752975,295444001585457000,598118590514478600,-985091499896083560,340401891901431630,255513146488844160,-288298434368750924,113630346575425552,-15625627099750039,-4010899341913352,2250448374224264,-423213872395664,21903697056158,5893271748088,-1256821589500,70899692224,7107900086,-1326407768,52770476,4315768,-514420,11776,836,-56,1 # comp 6x4 (6*4) r=24
